[0] Tesla P100-PCIE-16GB | 57°C,  ?? %,  97 % (E:   0 %  D:   0 %),  198 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 56°C,  ?? %,  99 % (E:   0 %  D:   0 %),  200 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 57°C,  ?? %,  97 % (E:   0 %  D:   0 %),  189 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 57°C,  ?? %,  97 % (E:   0 %  D:   0 %),  160 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 58°C,  ?? %,  97 % (E:   0 %  D:   0 %),  166 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 57°C,  ?? %,  97 % (E:   0 %  D:   0 %),  202 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 58°C,  ?? %,  97 % (E:   0 %  D:   0 %),  198 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 57°C,  ?? %,  97 % (E:   0 %  D:   0 %),  181 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 58°C,  ?? %,  98 % (E:   0 %  D:   0 %),  180 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 57°C,  ?? %,  97 % (E:   0 %  D:   0 %),  192 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
[0] Tesla P100-PCIE-16GB | 58°C,  ?? %,  97 % (E:   0 %  D:   0 %),  202 / 250 W |  4000 / 16384 MB | jgong:python3.10/697568(3996M)
[1] Tesla P100-PCIE-16GB | 57°C,  ?? %,  97 % (E:   0 %  D:   0 %),  198 / 250 W |  4000 / 16384 MB | jgong:python3.10/697569(3996M)
